fish_id,SL,male_type,of_dist_moved_cm,of_velocity_cmps,of_time_in_thigmo_s,of_time_in_center_s,st_dist_moved_cm,st_velocity_cmps,st_white_thigmo,st_white_center,st_black_thigmo,st_black_center,st_black_total,st_white_total
acorn,40.09,L,1743.65,6.2382,0.83305333,0.131687,2242.1,4.01403,0.10383933,0.1451415,0.40318333,0.287225,0.69041,0.24898167
almond,36.505,L,1485.76,5.32636,0.70236667,0.23679167,331.93,0.55415,0.03490567,0.01178345,0.054304,0.89587667,0.95018,0.04668917
apple,35.486,L,2443.2,9.5033,0.31731633,0.57824333,1394.98,2.37804,0.10800133,0.05263883,0.50282,0.31583333,0.81865333,0.16064017
apricot,32.257,L,1337.12,4.97253,0.35268333,0.54543333,1095.72,1.86309,0.094212,0.21688167,0.48428833,0.17953167,0.66382,0.311095
bagel,18.627,S,4662.4,16.1634,0.40774,0.57435,1802.64,3.49226,0.03957467,0.0549155,0.33960833,0.439825,0.77943333,0.09449033
banana,34.273,L,6059,21.9125,0.65821333,0.27516333,332.367,0.555039,0.04035233,0.012228,0.822445,0.11844483,0.94089,0.05258033
bean,35.289,L,1877.17,6.78144,0.02947383,0.35468667,925.22,1.54462,0.02017667,0.03768533,0.299315,0.641205,0.94052,0.05786183
butter,22.54,S,2812.33,11.4255,0.215437,0.56656333,1112.25,1.85686,0.07709333,0.06703283,0.619805,0.23350333,0.85330833,0.14412633
candy,22.917,S,6507.95,25.7382,0.66588667,0.22455733,1424.75,2.48859,0.0369625,0.02062117,0.65270667,0.24823167,0.90094,0.05758367
cheese,39.373,L,3578.03,13.7409,0.59926333,0.289511,299.11,0.499412,0,0.00088932,0.985645,0.01183907,0.99748333,0.00088932
coconut,36.798,L,2110.31,7.47945,0.38838667,0.5897,1688.87,2.82155,0.08365217,0.05247017,0.426265,0.43560333,0.86186667,0.13612233
cookie,23.618,S,1411.66,4.84845,0.32576933,0.66711,2120.52,3.70256,0.09532483,0.15729983,0.09621417,0.61174667,0.70796,0.252625
donut,34.855,L,7058.28,27.3977,0.271604,0.47069,1757.24,3.23444,0.07136733,0.03296017,0.44243333,0.36639667,0.80883,0.10432733
dough,19.875,S,1984.35,7.10953,0.61795,0.35168333,2060.27,3.43957,0.424095,0.13256433,0.18286667,0.25884833,0.44171333,0.55665833
dumpling,20.248,S,5877.49,21.89,0.04037367,0.52374333,1703.94,2.97677,0,0.03951933,0.53615,0.31771,0.85386167,0.03951933
durian,33.065,L,1414.46,5.35517,0.35646667,0.54076,1104.3,1.8674,0.0598625,0.14206933,0.31554333,0.47050667,0.78605,0.20193167
eclair,39.726,L,2591.87,9.89663,0.117228,0.77533,1388.28,2.31771,0.00478007,0.06475317,0.15335117,0.76859,0.92194167,0.06953333
eggnog,23.88,S,3724.98,14.6545,0.176843,0.72928333,2101.38,3.63258,0.174585,0.06897817,0.1335095,0.58739833,0.72090667,0.24356333
elderberry,22.928,S,3856.31,17.074,0.043043,0.73896,2663.42,4.74194,0.15285183,0.17641833,0.17869833,0.42765167,0.60635,0.32927
empanada,34.631,L,1373.04,5.19375,0.42475667,0.41663667,900.994,1.51201,0.02390067,0.04607817,0.07915,0.84108,0.92023,0.06997883
fajita,24.225,S,3053.63,10.7744,0.17350633,0.77822,1153.45,1.93329,0.0142847,0.04668933,0.17414,0.76159167,0.93573167,0.060974
feta,33.487,L,2123.39,7.80264,0.52018667,0.40785,1676.48,2.79885,0.27668833,0.08020533,0.24834167,0.39313333,0.641475,0.35689333
flan,39.912,L,1817.52,6.50248,0.19386,0.76487333,935.789,1.58036,0.03423783,0.04446483,0.29402333,0.59849667,0.89252,0.07870267
fondue,24.093,S,2403.27,9.18115,0.147369,0.78044333,1096.3,1.83372,0.01239493,0.02173283,0.15246333,0.81011667,0.96258,0.03412783